drug_concept_id,concept_name,atc_code
1103006,desloratadine,R06AX27
985708,ketoconazole,H02CA03
985708,ketoconazole,D01AC08
985708,ketoconazole,G01AF11
985708,ketoconazole,J02AB02
19018419,niacinamide,A11HA01
1394027,,
1741309,terbinafine,D01AE15
1741309,terbinafine,D01BA02
19095164,cholecalciferol,A11CC05
19062817,riboflavin,S01XA26
19062817,riboflavin,A11HA04
19008339,vitamin A,D10AD02
19008339,vitamin A,R01AX02
19008339,vitamin A,S01XA02
19008339,vitamin A,A11CA01
1322184,clopidogrel,B01AC04
1107830,loratadine,R06AX13
19137312,thiamine,A11DA01
1338005,bisoprolol,C07AB07
929887,lansoprazole,A02BC03
19005129,clobetasone,D07AB01
19005129,clobetasone,S01BA09
1518254,dexamethasone,A01AC02
1518254,dexamethasone,C05AA09
1518254,dexamethasone,D07AB19
1518254,dexamethasone,D07XB05
1518254,dexamethasone,D10AA03
1518254,dexamethasone,H02AB02
1518254,dexamethasone,R01AD03
1518254,dexamethasone,S01BA01
1518254,dexamethasone,S01CB01
1518254,dexamethasone,S02BA06
1518254,dexamethasone,S03BA01
1797513,ciprofloxacin,J01MA02
1797513,ciprofloxacin,S01AE03
1797513,ciprofloxacin,S02AA15
1797513,ciprofloxacin,S03AA07
19113045,,
19018544,,
1539403,simvastatin,C10AA01
19111620,folic acid,V04CX02
19111620,folic acid,B03BB01
19129738,,
904453,esomeprazole,A02BC05
1705674,trimethoprim,J01EA01
1103314,tramadol,N02AX02
529411,"tetanus toxoid vaccine, inactivated",J07AM01
1136980,ketorolac,M01AB15
1136980,ketorolac,S01BC05
1136422,levocetirizine,R06AE09
19087317,,
1314002,atenolol,C07AB03
915981,neomycin,A01AB08
915981,neomycin,A07AA01
915981,neomycin,B05CA09
915981,neomycin,D06AX04
915981,neomycin,J01GB05
915981,neomycin,R02AB01
915981,neomycin,S01AA03
915981,neomycin,S02AA07
915981,neomycin,S03AA01
19044883,zopiclone,N05CF01
1786621,cephalexin,J01DB01
901656,,
743670,venlafaxine,N06AX16
951279,prilocaine,N01BB04
46234461,,
734354,pregabalin,N02BF02
19037833,domperidone,A03FA03
19011773,ascorbic acid,G01AD03
19011773,ascorbic acid,S01XA15
19011773,ascorbic acid,A11GA01
19009896,,
1201620,codeine,R05DA04
1360067,,
19037706,,
19009405,,
523365,,
948582,polymyxin B,A07AA05
948582,polymyxin B,J01XB02
948582,polymyxin B,S01AA18
948582,polymyxin B,S02AA11
948582,polymyxin B,S03AA03
1146810,piroxicam,M01AC01
1146810,piroxicam,M02AA07
1146810,piroxicam,S01BC06
939881,capsaicin,M02AB01
939881,capsaicin,N01BX04
1363053,doxazosin,C02CA04
990069,chloramphenicol,D06AX02
990069,chloramphenicol,D10AF03
990069,chloramphenicol,G01AA05
990069,chloramphenicol,J01BA01
990069,chloramphenicol,S01AA01
990069,chloramphenicol,S02AA01
990069,chloramphenicol,S03AA08
1501700,,
19011028,,
908464,magnesium carbonate,A02AA01
908464,magnesium carbonate,A06AD01
923645,omeprazole,A02BC01
19115055,,
979096,zinc acetate,A16AX05
1790812,chlorhexidine,A01AB03
1790812,chlorhexidine,B05CA02
1790812,chlorhexidine,D08AC02
1790812,chlorhexidine,D09AA12
1790812,chlorhexidine,R02AA05
1790812,chlorhexidine,S01AX09
1790812,chlorhexidine,S02AA09
1790812,chlorhexidine,S03AA04
797399,gabapentin,N02BF01
1703687,acyclovir,D06BB03
1703687,acyclovir,J05AB01
1703687,acyclovir,S01AD03
19016670,,
1367500,losartan,C09CA01
43531973,,
908523,mineral oil,A06AA01
1308738,vitamin B12,B03BA01
916460,benzalkonium,D08AJ01
916460,benzalkonium,D09AA11
916460,benzalkonium,R02AA16
991876,loperamide,A07DA03
911064,,
1125315,acetaminophen,N02BE01
1319156,,
998415,clobetasol,D07AD01
927478,pramoxine,C05AD07
