drug_concept_id,concept_name,atc_code
1705674,trimethoprim,J01EA01
1201620,codeine,R05DA04
19044883,zopiclone,N05CF01
915981,neomycin,A01AB08
915981,neomycin,A07AA01
915981,neomycin,B05CA09
915981,neomycin,D06AX04
915981,neomycin,J01GB05
915981,neomycin,R02AB01
915981,neomycin,S01AA03
915981,neomycin,S02AA07
915981,neomycin,S03AA01
19137031,,
19129738,,
956874,furosemide,C03CA01
19037833,domperidone,A03FA03
1105775,aminophylline,R03DA05
734354,pregabalin,N02BF02
929887,lansoprazole,A02BC03
19113045,,
1797513,ciprofloxacin,J01MA02
1797513,ciprofloxacin,S01AE03
1797513,ciprofloxacin,S02AA15
1797513,ciprofloxacin,S03AA07
19093848,magnesium sulfate,A06AD04
19093848,magnesium sulfate,A12CC02
19093848,magnesium sulfate,B05XA05
19093848,magnesium sulfate,D11AX05
19093848,magnesium sulfate,V04CC02
19086100,mizolastine,R06AX25
1539403,simvastatin,C10AA01
941258,,
1596977,"insulin, regular, human",A10AB01
1596977,"insulin, regular, human",A10AC01
1596977,"insulin, regular, human",A10AD01
1596977,"insulin, regular, human",A10AE01
1596977,"insulin, regular, human",A10AF01
529411,"tetanus toxoid vaccine, inactivated",J07AM01
19111620,folic acid,V04CX02
19111620,folic acid,B03BB01
1322184,clopidogrel,B01AC04
1110410,morphine,N02AA01
939881,capsaicin,M02AB01
939881,capsaicin,N01BX04
1107830,loratadine,R06AX13
19087317,,
1146810,piroxicam,M01AC01
1146810,piroxicam,M02AA07
1146810,piroxicam,S01BC06
951511,mupirocin,D06AX09
951511,mupirocin,R01AX06
911735,rabeprazole,A02BC04
1551099,prednisone,A07EA03
1551099,prednisone,H02AB07
929128,,
904542,triamterene,C03DB02
1836430,sulfamethoxazole,J01EC01
1314002,atenolol,C07AB03
950435,citric acid,A09AB04
19037706,,
19005129,clobetasone,D07AB01
19005129,clobetasone,S01BA09
1318853,nifedipine,C08CA05
1502905,insulin glargine,A10AE04
1786621,cephalexin,J01DB01
1103314,tramadol,N02AX02
1518254,dexamethasone,A01AC02
1518254,dexamethasone,C05AA09
1518254,dexamethasone,D07AB19
1518254,dexamethasone,D07XB05
1518254,dexamethasone,D10AA03
1518254,dexamethasone,H02AB02
1518254,dexamethasone,R01AD03
1518254,dexamethasone,S01BA01
1518254,dexamethasone,S01CB01
1518254,dexamethasone,S02BA06
1518254,dexamethasone,S03BA01
523365,,
19058933,erdosteine,R05CB15
958134,bismuth subcitrate,A02BX05
19095164,cholecalciferol,A11CC05
1363053,doxazosin,C02CA04
19010955,,
19115055,,
