A_drug_concept_id	A_atc_codes	A_drug_concept_name	B_drug_concept_id	B_atc_codes	B_drug_concept_name	people_count	avg_switch_interval
1125315	('N02BE01',)	acetaminophen	1125315	('N02BE01',)	acetaminophen	38923	73.1642378790539
1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	31970	55.288658462094915
1539403	('C10AA01',)	simvastatin	1539403	('C10AA01',)	simvastatin	31425	52.5399685241315
1713332	('J01CA04',)	amoxicillin	1713332	('J01CA04',)	amoxicillin	27046	249.89709236663197
923645	('A02BC01',)	omeprazole	923645	('A02BC01',)	omeprazole	26022	69.71856002269595
1201620	('R05DA04',)	codeine	1201620	('R05DA04',)	codeine	23345	77.63208039222505
1548195	('G03CA03',)	estradiol	1548195	('G03CA03',)	estradiol	23274	87.26330013878406
1124300	('D11AX18', 'M01AB05', 'M02AA15', 'S01BC03')	diclofenac	1124300	('D11AX18', 'M01AB05', 'M02AA15', 'S01BC03')	diclofenac	22007	125.11535200653144
1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	21276	87.70172893686582
929887	('A02BC03',)	lansoprazole	929887	('A02BC03',)	lansoprazole	20949	60.05739167611577
1154343	('R03AC02', 'R03CC02')	albuterol	1154343	('R03AC02', 'R03CC02')	albuterol	18088	96.6475540407876
1177480	('C01EB16', 'G02CC01', 'M01AE01', 'M02AA13', 'R02AX02')	ibuprofen	1177480	('C01EB16', 'G02CC01', 'M01AE01', 'M02AA13', 'R02AX02')	ibuprofen	16994	107.45792314378701
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	16933	158.12101270669314
1545958	('C10AA05',)	atorvastatin	1545958	('C10AA05',)	atorvastatin	16829	49.70412892851231
1501700	('H03AA01',)	levothyroxine	1501700	('H03AA01',)	levothyroxine	15993	50.44248648422986
1521369	('G03AC01', 'G03DC02')	norethindrone	1521369	('G03AC01', 'G03DC02')	norethindrone	15611	102.78905722389807
1316354	('C03AA01',)	bendroflumethiazide	1316354	('C03AA01',)	bendroflumethiazide	15295	57.32749460986712
1125315	('N02BE01',)	acetaminophen	1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	15269	41.13358901147173
710062	('N06AA09',)	amitriptyline	710062	('N06AA09',)	amitriptyline	15261	54.27903783616373
1314002	('C07AB03',)	atenolol	1314002	('C07AB03',)	atenolol	14355	51.179647436913264
1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	1125315	('N02BE01',)	acetaminophen	14139	49.18556118433003
19095164	('A11CC05',)	cholecalciferol	19095164	('A11CC05',)	cholecalciferol	14101	57.43858997570524
